epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,3133.99,0.77595,0.38882,0.81622,0.78425,0.61606,0.67769,0.45721,0.82304,0.39309,0.80824,0.00254152,0.00254152,0.00254152
149,3154.81,0.77066,0.38667,0.81765,0.78444,0.61591,0.67751,0.45712,0.82285,0.39308,0.80829,0.00249009,0.00249009,0.00249009
150,3175.76,0.77428,0.38756,0.81648,0.78438,0.61623,0.67753,0.45697,0.82287,0.39329,0.80821,0.00243942,0.00243942,0.00243942
151,3196.57,0.77273,0.38686,0.81675,0.78401,0.61634,0.67737,0.45701,0.82285,0.3931,0.80822,0.00238952,0.00238952,0.00238952
152,3217.54,0.77497,0.38852,0.81665,0.78496,0.61601,0.67746,0.45727,0.82262,0.39323,0.8082,0.00234039,0.00234039,0.00234039
153,3238.41,0.76951,0.38512,0.81682,0.78447,0.6157,0.67724,0.45732,0.8226,0.39309,0.80813,0.00229206,0.00229206,0.00229206
154,3259.29,0.76554,0.38382,0.81729,0.78519,0.61535,0.6773,0.45704,0.82251,0.39317,0.80816,0.00224452,0.00224452,0.00224452
155,3280.12,0.76371,0.38405,0.81627,0.78507,0.61591,0.67764,0.45721,0.82249,0.39342,0.80814,0.0021978,0.0021978,0.0021978
156,3300.95,0.76566,0.38418,0.81532,0.78549,0.615,0.6776,0.45707,0.82247,0.39293,0.80811,0.00215191,0.00215191,0.00215191
157,3321.9,0.76225,0.38196,0.81609,0.78532,0.6156,0.67791,0.45717,0.82273,0.39325,0.80808,0.00210685,0.00210685,0.00210685
158,3342.67,0.76493,0.38271,0.81658,0.78525,0.61644,0.67836,0.45744,0.82255,0.39329,0.80806,0.00206263,0.00206263,0.00206263
159,3363.58,0.76202,0.38323,0.81738,0.78419,0.61595,0.67785,0.45725,0.82245,0.39313,0.80805,0.00201928,0.00201928,0.00201928
160,3384.42,0.76442,0.38224,0.81549,0.78509,0.61628,0.67834,0.4576,0.8223,0.39318,0.80807,0.0019768,0.0019768,0.0019768
161,3405.43,0.7617,0.38208,0.81496,0.78584,0.6164,0.67853,0.45756,0.8222,0.39319,0.80805,0.00193519,0.00193519,0.00193519
162,3426.51,0.76437,0.38218,0.815,0.78347,0.61665,0.67795,0.45772,0.8222,0.39317,0.80803,0.00189448,0.00189448,0.00189448
163,3447.42,0.76409,0.38051,0.81527,0.7862,0.61644,0.67898,0.45786,0.82222,0.39313,0.80801,0.00185466,0.00185466,0.00185466
164,3468.59,0.76022,0.38036,0.81572,0.78578,0.61611,0.67772,0.45763,0.8222,0.3932,0.80798,0.00181576,0.00181576,0.00181576
165,3489.49,0.75736,0.38013,0.81483,0.7864,0.61614,0.67796,0.45778,0.82208,0.39292,0.80798,0.00177777,0.00177777,0.00177777
166,3510.59,0.75837,0.38013,0.81509,0.78653,0.61565,0.67794,0.4577,0.82206,0.39294,0.80794,0.00174071,0.00174071,0.00174071
167,3531.51,0.76192,0.381,0.81529,0.78758,0.61624,0.67828,0.45782,0.8223,0.3929,0.80793,0.0017046,0.0017046,0.0017046
168,3552.6,0.76176,0.37974,0.81487,0.7869,0.61608,0.6783,0.45788,0.82198,0.3928,0.80791,0.00166942,0.00166942,0.00166942
169,3573.48,0.75772,0.37921,0.81492,0.78838,0.61585,0.67849,0.45794,0.82209,0.39305,0.80793,0.00163521,0.00163521,0.00163521
170,3594.55,0.7542,0.37838,0.81385,0.7874,0.61609,0.67827,0.45771,0.822,0.3929,0.8079,0.00160195,0.00160195,0.00160195
171,3615.42,0.75921,0.37837,0.81474,0.78838,0.61632,0.6793,0.45807,0.8221,0.39316,0.80786,0.00156967,0.00156967,0.00156967
172,3636.5,0.75442,0.3772,0.81404,0.78795,0.61518,0.67804,0.45792,0.82198,0.3927,0.80789,0.00153837,0.00153837,0.00153837
173,3657.37,0.75268,0.37677,0.81412,0.78792,0.61486,0.67826,0.45812,0.82223,0.3931,0.80786,0.00150806,0.00150806,0.00150806
174,3678.48,0.75578,0.37834,0.81472,0.78843,0.61558,0.67874,0.45822,0.82206,0.39291,0.8079,0.00147874,0.00147874,0.00147874
175,3699.55,0.75096,0.37616,0.81378,0.7886,0.61533,0.67812,0.4581,0.82227,0.39277,0.8079,0.00145043,0.00145043,0.00145043
176,3720.61,0.75356,0.37661,0.81519,0.78835,0.61485,0.67857,0.45836,0.82193,0.39277,0.80784,0.00142312,0.00142312,0.00142312
177,3741.61,0.75522,0.37695,0.81412,0.78805,0.61423,0.67849,0.45827,0.82194,0.39279,0.8079,0.00139683,0.00139683,0.00139683
178,3762.45,0.75247,0.37506,0.81504,0.78908,0.61459,0.67876,0.45841,0.82189,0.39296,0.80783,0.00137157,0.00137157,0.00137157
